RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
79,Daddy Yankee,celebrities,musicians,13.3Mæ(=),0.61%æ(3991),313.7kæ(958),3.2kæ(667)
80,Victoria Beckham,celebrities,entrepreneurs,13.3Mæ(=),1.45%æ(2728),542.5kæ(703),1.5kæ(1784)
81,Dior Official,fashion,luxury,13.1Mæ(=),0.74%æ(3826),34.4Mæ(11),1.9kæ(1356)
82,M‡A‡C Cosmetics,beauty,retail,13Mæ(=),0.70%æ(3872),7.6Mæ(87),3.3kæ(636)
83,Channing Tatum,celebrities,actors,13Mæ(=),4.72%æ(370),485kæ(747),718æ(3207)
84,Robert Downey Jr.,celebrities,tv,12.9Mæ(+1),3.65%æ(693),818.1kæ(544),133æ(5050)
85,elliegoulding,celebrities,musicians,12.9Mæ(-1),1.75%æ(2300),648.9kæ(638),3.6kæ(551)
86,50 Cent,celebrities,musicians,12.9Mæ(=),0.89%æ(3588),688.5kæ(615),1.4kæ(1836)
87,Starbucks Coffee,beverages,,12.6Mæ(=),3.19%æ(944),25.9Mæ(22),1.3kæ(2054)
88,Anastasia Beverly Hills,beauty,,12.3Mæ(=),1.05%æ(3325),7.7Mæ(85),8.9kæ(67)
89,Luan Santana,celebrities,musicians,12.2Mæ(=),1.64%æ(2439),590.7kæ(671),2.7kæ(876)
90,Chloe Grace Moretz,celebrities,actors,12.2Mæ(=),4.10%æ(535),47.6kæ(2071),2.4kæ(1020)
91,adidas,fashion,sport,12.1Mæ(=),1.52%æ(2619),26.3Mæ(18),1kæ(2496)
92,forever21,fashion,,12.1Mæ(=),1.68%æ(2388),3.9Mæ(164),3.8kæ(496)
93,Gucci,fashion,luxury,12Mæ(=),0.55%æ(4073),34.2Mæ(12),2.6kæ(899)
94,Louis Tomlinson,celebrities,musicians,11.8Mæ(=),11.42%æ(32),25.5Mæ(23),148æ(5008)
95,G-DRAGON,celebrities,fashion,11.8Mæ(=),4.45%æ(422),4.6Mæ(146),1.9kæ(1366)
96,DanialvesD2 My Twitter,celebrities,athletes,11.7Mæ(=),1.62%æ(2477),122.4kæ(1486),1.7kæ(1508)
97,Dolce & Gabbana,fashion,luxury,11.7Mæ(=),0.48%æ(4142),6.1Mæ(105),3.9kæ(471)
98,Tyga / T-Raww,celebrities,musicians,11.6Mæ(=),1.31%æ(2922),1.2Mæ(421),2.5kæ(948)
99,Paul Labile Pogba,celebrities,athletes,11.5Mæ(=),6.11%æ(170),77.6kæ(1745),396æ(4219)
100,Barack Obama,celebrities,political,11.5Mæ(=),3.37%æ(826),2.5Mæ(240),231æ(4753)
